"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units","32100359","001-0017","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901",1;30;39;41;43;45;46;47;49,"CURRENT - a cube available to the public and that is current","Annual","1908-01-01","2026-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Harvest disposition",,""
"3","Type of crop",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
36,"Respondents are asked to report the percentage moisture of their harvested corn for silage. Estimates of corn for silage production are calculated using a standard percentage moisture content of 70%."
37,"Respondents are asked to report the percentage moisture of their harvested hay for silage. Estimates of production for total hay is reported at a standard dry matter content of 90%."
38,"The category Tame hay represents the sum of estimates originally reported under the 3 following questionnaire categories: alfalfa and alfalfa mixtures, other tame hay, and forage Seed."
39,"On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
40,"New category as of March 2018."
41,"Starting in June 2018, for March, June and November occasions, the Canadian total for a given crop includes all provincial estimates, whether they are published or not based on quality and confidentiality factors. Note that overall, the estimates of the most important crops non-published in the past generally represent less than 5% of the Canadian total."
42,"New category as of June 2019."
43,"Starting in July 2019, model-based data were used estimate yield and production for the province of Manitoba for the July occasion."
44,"The geographies for the East, West, Maritimes, and Prairies were discontinued in 2018."
45,"Starting in July 2020, model-based data was used to estimate the July occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The July model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data.  "
46,"Starting in September 2016, model-based data was used to estimate the September survey occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The September model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data up until the end of August.  In September 2020, an enhanced crop yield model that incorporates crop insurance was used."
47,"Provincial estimates released for July and September occasions, based on coarse resolution remote sensing imagery, may be unavailable in some cases. Canada totals represent the sum of available estimates."
48,"Respondents are asked to report the percentage moisture of their harvested corn for grain. Estimates of corn for grain production are calculated using a standard percentage moisture content of 15.5%."
49,"Starting in December 2022 seeding intentions, previously collected in March, are now collected in December."

"Correction ID","Correction Date","Correction Note"
"1194","2019-10-11","On October 11, 2019, a correction was made to the 2018 Saskatchewan and Canada total summerfallow areas in hectares only. The area in acres was correct.",
"1215","2019-12-12","On December 12, 2019, a correction has been made to the number for the production of dry coloured beans in hundredweight for Ontario and Canada in 2019. Both numbers have been divided by one thousand and yields have been adjusted to reflect the updated estimates.",
"2306","2021-03-04","On March 4, 2021, the data for 2020 canary seed production in Manitoba were revised in both imperial and metric units.",
"3689","2023-09-12","On September 12, 2023, the data for July 31, 2023 yield and production were restored to published values.",
"986","2016-12-13","<p>On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada.<br></p>",

