province,year,wheat_yield_bu_ac,mean_temp_c,total_precip_mm,frost_days,heat_days,growing_degree_days,gs_max_temp,gs_min_temp,gs_total_rain,gs_total_snow,gs_heat_deg_days,gs_cool_deg_days,gs_days,prior_year_yield,yield_3yr_avg,year_trend,precip_anomaly,temp_anomaly,province_AB,province_MB,province_ON,province_QC,province_SK
AB,2008,46.9,13.41764705882353,295.2,23,12,1373.6,36.6,-12.5,0.0,0.0,796.8,95.7,153,39.3,43.43333333333334,13,124.30333333333334,-0.8733152251731156,1,0,0,0,0
AB,2009,40.9,13.13921568627451,191.0,26,8,1302.5,33.3,-8.8,0.0,0.0,805.8,62.1,153,46.9,43.166666666666664,14,20.103333333333353,-1.151746597722136,1,0,0,0,0
AB,2010,46.9,12.984210526315788,290.6,23,7,1263.6,33.4,-8.5,0.0,0.0,833.6,71.2,153,40.9,42.36666666666667,15,119.70333333333338,-1.306751757680857,1,0,0,0,0
AB,2011,49.1,13.241830065359476,285.8,21,10,1313.3,32.9,-9.0,0.0,0.0,813.5,85.5,153,46.9,44.900000000000006,16,114.90333333333336,-1.049132218637169,1,0,0,0,0
AB,2012,47.4,14.616447368421053,210.8,16,24,1481.8,34.4,-6.7,0.0,0.0,653.9,139.6,153,49.1,45.63333333333333,17,39.903333333333364,0.3254850844244075,1,0,0,0,0
AB,2013,58.1,14.022666666666668,281.4,25,10,1441.6,35.3,-11.8,0.0,0.0,714.3,117.7,153,47.4,47.800000000000004,18,110.50333333333333,-0.26829561732997753,1,0,0,0,0
AB,2014,51.1,13.6985401459854,0.0,22,9,1232.2,33.7,-8.4,0.0,0.0,698.9,109.6,153,58.1,51.53333333333334,19,-170.89666666666665,-0.592422138011246,1,0,0,0,0
AB,2015,45.4,14.890196078431371,119.9,20,26,1531.3,37.0,-5.0,0.0,0.0,652.6,176.8,153,51.1,52.20000000000001,20,-50.99666666666664,0.5992337944347259,1,0,0,0,0
AB,2016,58.1,,191.2,0,0,0.0,,,191.2,0.0,0.0,0.0,153,45.4,51.53333333333334,21,20.30333333333334,,1,0,0,0,0
AB,2017,52.6,,91.8,0,0,0.0,,,88.6,3.2,0.0,0.0,153,58.1,51.53333333333334,22,-79.09666666666665,,1,0,0,0,0
AB,2018,49.7,16.027272727272727,157.20000000000002,0,2,121.3,32.6,2.1,111.4,28.8,29.0,7.300000000000001,153,52.6,52.03333333333334,23,-13.69666666666663,1.736310443276082,1,0,0,0,0
AB,2019,52.3,14.206164383561644,127.2,17,12,1367.8,34.9,-6.9,0.0,0.0,661.1,107.2,153,49.7,53.46666666666667,24,-43.696666666666644,-0.08479790043500124,1,0,0,0,0
AB,2020,55.8,13.883333333333333,219.8,18,18,1432.5,35.8,-14.4,0.0,0.0,726.4,108.9,153,52.3,51.53333333333334,25,48.903333333333364,-0.4076289506633124,1,0,0,0,0
AB,2021,34.9,15.08993288590604,0.0,24,36,1550.7,37.9,-8.2,0.0,0.0,685.7,252.1,153,55.8,52.6,26,-170.89666666666665,0.7989706019093941,1,0,0,0,0
AB,2022,55.6,14.380536912751676,0.0,23,28,1478.1,35.8,-11.5,0.0,0.0,726.4,187.1,153,34.9,47.666666666666664,27,-170.89666666666665,0.08957462875503097,1,0,0,0,0
AB,2023,44.9,15.858389261744968,0.0,17,25,1674.7,36.9,-10.2,0.0,0.0,517.7,198.6,153,55.6,48.76666666666667,28,-170.89666666666665,1.5674269777483225,1,0,0,0,0
AB,2024,48.0,14.326950354609927,0.0,12,15,1349.6,36.7,-9.4,0.0,0.0,653.4,135.5,153,44.9,45.13333333333333,29,-170.89666666666665,0.03598807061328202,1,0,0,0,0
MB,1998,36.6,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,31.7,33.8,3,0.0,,0,1,0,0,0
MB,1999,36.9,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,36.6,35.53333333333334,4,0.0,,0,1,0,0,0
MB,2000,40.3,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,36.9,35.06666666666667,5,0.0,,0,1,0,0,0
MB,2001,32.2,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,40.3,37.93333333333334,6,0.0,,0,1,0,0,0
MB,2002,36.3,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,32.2,36.46666666666667,7,0.0,,0,1,0,0,0
MB,2003,43.8,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,36.3,36.26666666666666,8,0.0,,0,1,0,0,0
MB,2004,45.2,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,43.8,37.43333333333334,9,0.0,,0,1,0,0,0
MB,2005,32.2,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,45.2,41.76666666666666,10,0.0,,0,1,0,0,0
MB,2006,42.6,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,32.2,40.400000000000006,11,0.0,,0,1,0,0,0
MB,2007,40.7,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,42.6,40.0,12,0.0,,0,1,0,0,0
MB,2008,49.4,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,40.7,38.50000000000001,13,0.0,,0,1,0,0,0
MB,2009,49.4,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,49.4,44.23333333333334,14,0.0,,0,1,0,0,0
MB,2010,41.1,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,49.4,46.5,15,0.0,,0,1,0,0,0
MB,2011,38.5,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,41.1,46.63333333333333,16,0.0,,0,1,0,0,0
MB,2012,48.4,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,38.5,43.0,17,0.0,,0,1,0,0,0
MB,2013,56.9,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,48.4,42.666666666666664,18,0.0,,0,1,0,0,0
MB,2014,48.4,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,56.9,47.93333333333334,19,0.0,,0,1,0,0,0
MB,2015,50.1,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,48.4,51.23333333333333,20,0.0,,0,1,0,0,0
MB,2016,52.6,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,50.1,51.800000000000004,21,0.0,,0,1,0,0,0
MB,2017,61.3,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,52.6,50.36666666666667,22,0.0,,0,1,0,0,0
MB,2018,60.9,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,61.3,54.666666666666664,23,0.0,,0,1,0,0,0
MB,2019,60.8,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,60.9,58.26666666666667,24,0.0,,0,1,0,0,0
MB,2020,61.3,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,60.8,61.0,25,0.0,,0,1,0,0,0
MB,2021,47.9,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,61.3,61.0,26,0.0,,0,1,0,0,0
MB,2022,61.7,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,47.9,56.666666666666664,27,0.0,,0,1,0,0,0
MB,2023,62.5,17.35952380952381,0.0,5,14,1560.8,35.6,-5.7,0.0,0.0,268.0,187.3,153,61.7,56.96666666666667,28,0.0,1.2727619047619037,0,1,0,0,0
MB,2024,65.4,14.814,0.0,19,8,1505.8,32.9,-8.3,0.0,0.0,639.1,161.2,153,62.5,57.36666666666667,29,0.0,-1.2727619047619072,0,1,0,0,0
ON,1998,60.3,17.4718954248366,333.8,3,12,1910.9,31.8,-2.0,333.8,0.0,367.7,286.9,153,59.1,56.03333333333334,3,-104.95333333333332,0.9330503070831568,0,0,1,0,0
ON,1999,70.1,17.381045751633987,267.3,8,25,1910.7,34.7,-7.7,267.3,0.0,440.7,346.0,153,60.3,53.333333333333336,4,-171.45333333333332,0.8422006338805446,0,0,1,0,0
ON,2000,70.8,15.220261437908496,556.8,12,1,1609.6,30.0,-6.1,532.8,22.8,592.2,166.9,153,70.1,63.166666666666664,5,118.04666666666662,-1.3185836798449468,0,0,1,0,0
ON,2001,68.3,16.959477124183007,264.8,12,25,1852.5,37.3,-5.3,263.7,1.1,479.6,320.4,153,70.8,67.06666666666666,6,-173.95333333333332,0.4206320064295639,0,0,1,0,0
ON,2002,67.2,15.933986928104575,470.5,14,18,1721.7,34.8,-7.3,449.8,19.5,617.6,301.5,153,68.3,69.73333333333333,7,31.74666666666667,-0.6048581896488674,0,0,1,0,0
ON,2003,73.8,15.891503267973857,461.9,19,13,1759.6,32.9,-10.0,452.1,13.4,595.2,272.6,153,67.2,68.76666666666667,8,23.146666666666647,-0.6473418497795862,0,0,1,0,0
ON,2004,69.2,15.484967320261436,399.7,14,2,1640.6,30.5,-11.2,390.7,9.0,570.6,185.8,153,73.8,69.76666666666667,9,-39.05333333333334,-1.0538777974920066,0,0,1,0,0
ON,2005,65.8,16.994771241830065,454.6,10,27,1840.5,33.8,-2.2,450.6,4.0,536.9,383.1,153,69.2,70.06666666666666,10,15.846666666666692,0.4559261240766226,0,0,1,0,0
ON,2006,78.3,16.808496732026143,489.5,12,12,1824.2,36.3,-6.9,487.7,1.8,469.4,287.1,153,65.8,69.60000000000001,11,50.74666666666667,0.2696516142726999,0,0,1,0,0
ON,2007,68.4,15.96470588235294,456.1,11,13,1730.1,34.4,-7.4,436.8,19.7,559.3,247.9,153,78.3,71.10000000000001,12,17.346666666666692,-0.5741392354005033,0,0,1,0,0
ON,2008,76.1,15.858823529411763,429.2,10,5,1690.7,32.7,-7.8,424.0,5.2,513.1,185.5,153,68.4,70.83333333333333,13,-9.553333333333342,-0.6800215883416794,0,0,1,0,0
ON,2009,70.6,15.558169934640524,516.3,8,8,1641.8,33.3,-4.7,514.9,1.4,568.2,194.6,153,76.1,74.26666666666667,14,77.54666666666662,-0.9806751831129183,0,0,1,0,0
ON,2010,75.9,17.498692810457516,445.2,3,20,1915.6,35.2,-1.3,439.8,5.4,403.6,326.9,153,70.6,71.69999999999999,15,6.446666666666658,0.9598476927040736,0,0,1,0,0
ON,2011,72.8,16.895424836601308,458.8,11,19,1844.0,36.3,-5.3,455.7,3.1,486.2,317.2,153,75.9,74.2,16,20.04666666666668,0.35657971884786477,0,0,1,0,0
ON,2012,76.1,17.566013071895423,318.5,12,31,1938.0,35.6,-2.5,314.3,4.2,452.6,386.2,153,72.8,73.1,17,-120.25333333333333,1.02716795414198,0,0,1,0,0
ON,2013,77.4,16.186274509803923,436.5,12,12,1761.1,34.0,-7.5,430.0,6.5,533.1,255.6,153,76.1,74.93333333333332,18,-2.2533333333333303,-0.3525706079495201,0,0,1,0,0
ON,2014,75.2,15.77124183006536,519.5,12,3,1690.0,31.0,-8.8,519.5,0.0,537.9,196.9,153,77.4,75.43333333333332,19,80.74666666666667,-0.7676032876880825,0,0,1,0,0
ON,2015,76.2,16.558823529411764,374.1,10,10,1808.7,33.9,-7.3,370.5,4.0,476.3,255.8,153,75.2,76.23333333333333,20,-64.65333333333331,0.019978411658321704,0,0,1,0,0
ON,2016,84.1,16.350980392156863,348.6,17,23,1821.7,34.0,-10.5,327.0,25.2,593.2,340.9,153,76.2,76.26666666666667,21,-90.15333333333331,-0.18786472559657952,0,0,1,0,0
ON,2017,83.7,15.85032679738562,740.2,6,6,1678.8,32.5,-4.5,740.2,0.0,535.5,206.6,153,84.1,78.5,22,301.4466666666667,-0.6885183203678231,0,0,1,0,0
ON,2018,81.2,16.68562091503268,389.8,19,23,1876.2,35.5,-11.0,389.8,0.0,556.1,355.0,153,83.7,81.33333333333333,23,-48.95333333333332,0.1467757972792363,0,0,1,0,0
ON,2019,74.4,15.292617449664428,503.8,13,14,1586.1,33.5,-8.5,493.8,10.0,640.6999999999999,237.3,153,81.2,83.0,24,65.04666666666668,-1.2462276680890145,0,0,1,0,0
ON,2020,79.5,21.202941176470585,323.1,0,32,1652.7,37.0,3.0,323.1,0.0,66.7,393.4,153,74.4,79.76666666666667,25,-115.65333333333331,4.664096058717142,0,0,1,0,0
ON,2021,87.6,17.331372549019605,295.6,9,23,1909.2,33.5,-7.0,295.0,1.0,462.9,360.6,153,79.5,78.36666666666667,26,-143.1533333333333,0.7925274312661621,0,0,1,0,0
ON,2022,96.4,16.764705882352942,567.6,8,21,1815.7,33.0,-3.0,567.6,0.0,467.8,278.8,153,87.6,80.5,27,128.8466666666667,0.22586076459949922,0,0,1,0,0
ON,2023,95.7,16.719607843137254,584.1,10,11,1826.0,34.5,-9.5,584.1,0.0,472.9,277.0,153,96.4,87.83333333333333,28,145.3466666666667,0.18076272538381133,0,0,1,0,0
ON,2024,92.9,17.284827586206898,543.0,7,17,1789.7,32.5,-3.0,518.6,20.0,413.2,309.5,153,95.7,93.23333333333333,29,104.24666666666667,0.7459824684534553,0,0,1,0,0
QC,1998,42.6,14.839869281045752,437.1,13,4,1535.9,31.3,-4.7,0.0,0.0,601.0,117.5,153,46.5,42.86666666666667,3,-72.60999999999996,0.7776105041074555,0,0,0,1,0
QC,1999,44.6,15.036601307189542,459.6,15,5,1581.4,30.9,-5.9,0.0,0.0,615.1,161.7,153,42.6,43.366666666666674,4,-50.10999999999996,0.9743425302512456,0,0,0,1,0
QC,2000,48.7,13.601307189542483,499.1,17,0,1366.5,29.1,-5.3,0.0,0.0,782.8,109.8,153,44.6,44.56666666666667,5,-10.609999999999957,-0.46095158739581343,0,0,0,1,0
QC,2001,47.1,14.322875816993465,379.2,23,5,1491.0,33.0,-5.6,0.0,0.0,687.4,124.8,153,48.7,45.300000000000004,6,-130.51,0.26061704005516795,0,0,0,1,0
QC,2002,48.6,13.46797385620915,375.9,21,8,1373.5,33.3,-10.0,0.0,0.0,850.1,156.7,153,47.1,46.800000000000004,7,-133.81,-0.5942849207291463,0,0,0,1,0
QC,2003,46.2,13.15751633986928,506.9,20,5,1381.8,34.2,-13.6,0.0,0.0,868.7,127.8,153,48.6,48.13333333333333,8,-2.8100000000000023,-0.9047424370690162,0,0,0,1,0
QC,2004,48.8,13.281045751633988,544.0,21,1,1342.9,31.2,-7.0,0.0,0.0,808.6,86.6,153,46.2,47.300000000000004,9,34.29000000000002,-0.781213025304309,0,0,0,1,0
QC,2005,43.7,14.584313725490198,578.4,18,9,1500.9,32.4,-3.9,0.0,0.0,720.0,197.4,153,48.8,47.86666666666667,10,68.69,0.5220549485519008,0,0,0,1,0
QC,2006,43.8,14.853594771241829,431.2,14,4,1539.0,32.4,-5.5,0.0,0.0,641.2,159.8,153,43.7,46.23333333333334,11,-78.50999999999999,0.7913359943035321,0,0,0,1,0
QC,2007,46.0,13.706535947712418,606.1,19,6,1418.6,31.8,-6.5,0.0,0.0,766.9,110.0,153,43.8,45.43333333333333,12,96.39000000000004,-0.35572282922587917,0,0,0,1,0
QC,2008,41.9,13.994117647058824,662.3,16,1,1423.0,30.3,-8.0,0.0,0.0,702.8,89.9,153,46.0,44.5,13,152.58999999999997,-0.06814112987947318,0,0,0,1,0
QC,2009,40.4,13.95751633986928,550.2,15,3,1403.1,30.5,-3.5,0.0,5.0,733.1,114.6,153,41.9,43.9,14,40.490000000000066,-0.10474243706901731,0,0,0,1,0
QC,2010,44.9,15.710457516339869,341.4,8,11,1649.0,33.4,-3.5,0.0,0.0,566.9,216.6,153,40.4,42.76666666666667,15,-168.31,1.6481987394015718,0,0,0,1,0
QC,2011,41.6,14.126143790849676,630.0,18,1,1467.9,31.2,-7.6,0.0,0.0,735.7,143.0,153,44.9,42.4,16,120.29000000000002,0.06388501391137957,0,0,0,1,0
QC,2012,48.0,15.050980392156864,529.6,18,13,1576.8,32.8,-5.1,0.0,0.0,631.1,179.9,153,41.6,42.300000000000004,17,19.890000000000043,0.9887216152185676,0,0,0,1,0
QC,2013,46.5,13.753594771241833,662.9,19,4,1420.3,33.0,-8.5,0.0,0.0,763.0,113.3,153,48.0,44.833333333333336,18,153.19,-0.308664005696464,0,0,0,1,0
QC,2014,46.4,13.915686274509802,617.0,20,2,1457.7,31.4,-13.2,0.0,0.0,740.2,115.3,153,46.5,45.36666666666667,19,107.29000000000002,-0.1465725024284943,0,0,0,1,0
QC,2015,51.7,13.860784313725487,640.8,19,1,1452.5,31.0,-19.3,0.0,0.0,727.9,94.6,153,46.4,46.96666666666667,20,131.08999999999997,-0.2014744632128096,0,0,0,1,0
QC,2016,52.5,13.446666666666667,453.2,28,5,1408.9,30.8,-17.5,0.0,0.0,809.1999999999999,126.2,153,51.7,48.20000000000001,21,-56.50999999999999,-0.6155921102716295,0,0,0,1,0
QC,2017,47.9,13.396026490066223,474.8,14,3,1319.6,32.8,-7.7,0.0,0.0,779.6,84.4,153,52.5,50.20000000000001,22,-34.90999999999997,-0.6662322868720736,0,0,0,1,0
QC,2018,46.8,13.648,536.8,24,11,1445.5,32.8,-19.2,0.0,0.0,837.1,184.3,153,47.9,50.699999999999996,23,27.089999999999975,-0.41425877693829705,0,0,0,1,0
QC,2019,50.7,12.912582781456951,569.4,24,5,1289.9,31.6,-10.3,0.0,0.0,877.9,109.7,153,46.8,49.06666666666666,24,59.69,-1.1496759954813456,0,0,0,1,0
QC,2020,34.6,13.723333333333333,462.8,32,11,1408.6,33.6,-7.5,0.0,0.0,820.7,179.2,153,50.7,48.46666666666667,25,-46.90999999999997,-0.338925443604964,0,0,0,1,0
QC,2021,54.1,15.420143884892086,359.7,14,9,1461.8,32.5,-3.3,0.0,0.0,551.6,193.0,153,34.6,44.03333333333333,26,-150.01,1.3578851079537895,0,0,0,1,0
QC,2022,58.3,14.146405228758171,662.3,20,4,1450.1,31.6,-7.5,0.0,0.0,722.6,133.0,153,54.1,46.46666666666667,27,152.58999999999997,0.08414645181987446,0,0,0,1,0
QC,2023,41.3,13.903289473684213,667.3000000000001,22,4,1421.8,33.9,-13.2,0.0,0.0,750.6,127.9,153,58.3,49.0,28,157.5900000000001,-0.15896930325408398,0,0,0,1,0
QC,2024,50.8,15.119205298013243,530.1,14,6,1564.8,33.4,-7.1,0.0,0.0,609.1,174.1,153,41.3,51.23333333333333,29,20.390000000000043,1.0569465210749467,0,0,0,1,0
SK,1998,29.9,14.733333333333333,272.5,24,13,1515.1,34.7,-9.6,270.9,2.2,650.4,150.6,153,28.2,30.466666666666665,3,151.9766666666667,1.3461196205167187,0,0,0,0,1
SK,1999,35.4,13.355555555555556,245.8,19,5,1327.5,33.1,-7.0,232.9,17.6,774.9,64.3,153,29.9,30.666666666666668,4,125.27666666666669,-0.031658157261057696,0,0,0,0,1
SK,2000,32.8,13.077777777777778,340.4,31,6,1329.3,34.5,-11.0,304.2,36.6,854.9,101.8,153,35.4,31.16666666666666,5,219.87666666666667,-0.30943593503883626,0,0,0,0,1
SK,2001,24.2,14.258169934640524,252.7,31,16,1499.8,35.8,-12.9,246.7,8.8,720.1,147.6,153,32.8,32.699999999999996,6,132.17666666666668,0.87095622182391,0,0,0,0,1
SK,2002,21.8,11.940522875816994,304.4,49,16,1301.3,34.8,-27.6,286.4,25.0,1070.0,142.9,153,24.2,30.799999999999997,7,183.87666666666667,-1.44669083699962,0,0,0,0,1
SK,2003,25.8,14.787581699346406,163.8,24,26,1582.7,37.5,-11.8,137.8,26.0,700.6,209.1,153,21.8,26.266666666666662,8,43.276666666666685,1.4003679865297922,0,0,0,0,1
SK,2004,32.8,11.554248366013072,290.1,41,5,1065.8,33.6,-10.7,278.1,13.8,1035.3,49.1,153,25.8,23.933333333333326,9,169.5766666666667,-1.832965346803542,0,0,0,0,1
SK,2005,37.0,13.490849673202614,220.4,27,11,1349.3,35.4,-11.5,219.4,1.0,791.4,101.5,153,32.8,26.799999999999994,10,99.87666666666668,0.10363596038600065,0,0,0,0,1
SK,2006,31.8,14.944444444444445,246.5,16,21,1537.8,34.6,-6.9,246.5,0.0,613.9,146.4,153,37.0,31.86666666666666,11,125.97666666666667,1.5572307316278309,0,0,0,0,1
SK,2007,28.5,14.11578947368421,218.4,24,21,1484.6,37.2,-14.6,216.4,2.0,765.9,175.5,153,31.8,33.86666666666666,12,97.87666666666668,0.7285757608675958,0,0,0,0,1
SK,2008,34.8,12.92091503267974,303.5,39,7,1300.5,33.8,-13.9,0.0,0.0,864.5,87.4,153,28.5,32.43333333333333,13,182.9766666666667,-0.46629868013687314,0,0,0,0,1
SK,2009,37.4,11.7640522875817,0.0,39,7,1137.3,33.2,-11.4,0.0,0.0,992.7,38.6,153,34.8,31.699999999999992,14,-120.52333333333333,-1.6231614252349136,0,0,0,0,1
SK,2010,35.3,13.384313725490196,0.0,27,7,1315.8,32.8,-8.9,0.0,0.0,789.2,83.0,153,37.4,33.56666666666666,15,-120.52333333333333,-0.002899987326417275,0,0,0,0,1
SK,2011,38.6,13.554605263157896,0.0,26,12,1403.9,33.2,-8.1,0.0,0.0,805.5,129.8,153,35.3,35.83333333333332,16,-120.52333333333333,0.16739155034128217,0,0,0,0,1
SK,2012,36.5,14.30326797385621,0.0,19,9,1478.6,34.7,-9.2,0.0,0.0,711.5,145.9,153,38.6,37.099999999999994,17,-120.52333333333333,0.9160542610395961,0,0,0,0,1
SK,2013,48.4,12.259868421052632,0.0,30,11,1375.9,34.6,-20.5,0.0,0.0,975.1,102.6,153,36.5,36.79999999999999,18,-120.52333333333333,-1.127345291763982,0,0,0,0,1
SK,2014,40.5,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,48.4,41.166666666666664,19,-120.52333333333333,,0,0,0,0,1
SK,2015,37.8,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,40.5,41.79999999999999,20,-120.52333333333333,,0,0,0,0,1
SK,2016,47.3,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,37.8,42.23333333333333,21,-120.52333333333333,,0,0,0,0,1
SK,2017,43.2,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,47.3,41.86666666666665,22,-120.52333333333333,,0,0,0,0,1
SK,2018,42.7,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,43.2,42.76666666666666,23,-120.52333333333333,,0,0,0,0,1
SK,2019,45.1,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,42.7,44.4,24,-120.52333333333333,,0,0,0,0,1
SK,2020,46.7,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,45.1,43.666666666666664,25,-120.52333333333333,,0,0,0,0,1
SK,2021,28.1,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,46.7,44.833333333333336,26,-120.52333333333333,,0,0,0,0,1
SK,2022,42.9,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,28.1,39.96666666666666,27,-120.52333333333333,,0,0,0,0,1
SK,2023,39.5,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,42.9,39.23333333333333,28,-120.52333333333333,,0,0,0,0,1
SK,2024,44.8,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153,39.5,36.83333333333333,29,-120.52333333333333,,0,0,0,0,1
